feature_name,feature_type,correlation_with_target
eval_number_E_1239,bool,
eval_number_E_124,bool,
eval_number_E_1240,bool,
eval_number_E_1241,bool,
eval_number_E_1242,bool,
eval_number_E_1243,bool,
eval_number_E_1244,bool,
eval_number_E_1245,bool,
eval_number_E_1246,bool,
eval_number_E_1248,bool,
eval_number_E_1249,bool,
eval_number_E_125,bool,
eval_number_E_1250,bool,
eval_number_E_1251,bool,
eval_number_E_1252,bool,
eval_number_E_1254,bool,
eval_number_E_1255,bool,
eval_number_E_1256,bool,
eval_number_E_1257,bool,
eval_number_E_1258,bool,
eval_number_E_1259,bool,
eval_number_E_126,bool,
eval_number_E_1260,bool,
eval_number_E_1263,bool,
eval_number_E_1264,bool,
eval_number_E_1265,bool,
eval_number_E_1267,bool,
eval_number_E_1268,bool,
eval_number_E_1269,bool,
eval_number_E_1270,bool,
eval_number_E_1273,bool,
eval_number_E_1275,bool,
eval_number_E_1277,bool,
eval_number_E_1278,bool,
eval_number_E_1279,bool,
eval_number_E_128,bool,
eval_number_E_1280,bool,
eval_number_E_1281,bool,
eval_number_E_1282,bool,
eval_number_E_1283,bool,
eval_number_E_1285,bool,
eval_number_E_1286,bool,
eval_number_E_1288,bool,
eval_number_E_1289,bool,
eval_number_E_129,bool,
eval_number_E_1291,bool,
eval_number_E_1292,bool,
eval_number_E_1293,bool,
eval_number_E_1294,bool,
eval_number_E_1295,bool,
eval_number_E_1296,bool,
eval_number_E_1297,bool,
eval_number_E_1298,bool,
eval_number_E_1299,bool,
eval_number_E_13,bool,
eval_number_E_1301,bool,
eval_number_E_1303,bool,
eval_number_E_1304,bool,
eval_number_E_1306,bool,
eval_number_E_1307,bool,
eval_number_E_1308,bool,
eval_number_E_1309,bool,
eval_number_E_131,bool,
eval_number_E_1310,bool,
eval_number_E_1311,bool,
eval_number_E_1312,bool,
eval_number_E_1314,bool,
eval_number_E_1315,bool,
eval_number_E_1317,bool,
eval_number_E_1318,bool,
eval_number_E_1319,bool,
